	Length
AT1G02940	771
AT1G02950	930
AT1G02952	422
AT1G02960	1701
AT1G02965	489
AT1G02970	1856
AT1G02980	2327
AT1G02990	4434
AT1G03000	3100
AT1G03010	2099
AT1G03020	309
AT1G03022	126
AT1G03030	1345
AT1G03040	1456
AT1G03050	1981
AT1G03055	1072
AT1G03060	11304
AT1G03070	1086
AT1G03080	5736
AT1G03090	2606
AT1G03100	2595
AT1G03103	640
AT1G03106	933
AT1G03110	1564
AT1G03120	549
AT1G03130	892
AT1G03140	1443
AT1G03150	743
AT1G03160	2948
AT1G03170	1053
AT1G03180	1499
AT1G03190	2771
AT1G03200	440
AT1G03210	861
AT1G03220	1530
AT1G03230	1502
AT1G03240	473
AT1G03250	1196
AT1G03260	1332
AT1G03270	1500
AT1G03280	1901
AT1G03290	2194
AT1G03300	2013
AT1G03310	2955
AT1G03320	663
AT1G03330	726
AT1G03340	1298
AT1G03350	1756
AT1G03360	1264
AT1G03365	2836
AT1G03370	3769
AT1G03380	3732
AT1G03390	1386
AT1G03400	1236
AT1G03410	2652
AT1G03420.1	1076
AT1G03430	1025
AT1G03440	1667
AT1G03445	2727
AT1G03457	1744
AT1G03470	1247
AT1G03475	1448
AT1G03490	846
AT1G03495	1752
AT1G03502	114
AT1G03506	87
AT1G03510	1290
AT1G03515	72
AT1G03520	2035
AT1G03530	2601
AT1G03540	1830
AT1G03545	1223
AT1G03550	1258
AT1G03560	2255
AT1G03570	72
AT1G03580	1206
AT1G03590	2003
AT1G03600	780
AT1G03610	1675
AT1G03620	860
AT1G03630	1394
AT1G03640	73
AT1G03650	793
AT1G03660	324
AT1G03670	1851
AT1G03680	910
AT1G03687	1447
AT1G03700	640
AT1G03710	1000
AT1G03720	825
AT1G03730	1068
AT1G03740	3099
AT1G03743	81
AT1G03746	85
AT1G03750	2683
AT1G03760	1382
AT1G03770	1659
AT1G03780	2883
AT1G03790	1573
AT1G03800	738
AT1G03810	432
AT1G03820	860
AT1G03830	3289
AT1G03840	1686
AT1G03850	1065
AT1G03860	1572
AT1G03870	1035
AT1G03880	1633
AT1G03890	1520
AT1G03900	1198
AT1G03905	1141
AT1G03910	2466
AT1G03920	2005
AT1G03930	2338
AT1G03935	87
AT1G03940	1515
AT1G03950	1002
AT1G03960	2483
AT1G03970	1148
AT1G03980	2337
AT1G03982	1290
AT1G03990	2277
AT1G04000	1014
AT1G04010	2399
AT1G04020	2401
AT1G04030	1846
AT1G04040	1063
AT1G04050	2675
AT1G04070	634
AT1G04080	3025
AT1G04090	1965
AT1G04100	1254
AT1G04110	2328
AT1G04120	5401
AT1G04130	1315
AT1G04140	3140
AT1G04150	3039
AT1G04160	4503
AT1G04170	1793
AT1G04171	165
AT1G04180	1266
AT1G04190	1334
AT1G04200	2625
AT1G04210	3986
AT1G04220	1784
AT1G04230	1376
AT1G04240	1178
AT1G04250	1087
AT1G04260	838
AT1G04270	800
AT1G04280	1925
AT1G04290	847
AT1G04295	552
AT1G04300	3845
AT1G04310	2470
AT1G04320	71
AT1G04330	672
AT1G04340	842
AT1G04350	1444
AT1G04360	1422
AT1G04370	402
AT1G04380	1282
AT1G04390	2954
AT1G04400	2511
AT1G04410	1484
AT1G04420	1450
AT1G04425	457
AT1G04430	2509
AT1G04440	2106
AT1G04445	519
AT1G04450	905
AT1G04457	231
AT1G04470	3307
AT1G04480	648
AT1G04490	1620
AT1G04500	1616
AT1G04501	129
AT1G04510	1987
AT1G04520	1443
AT1G04530	1352
AT1G04540	1806
AT1G04550	1392
AT1G04555	939
AT1G04560	855
AT1G04570	1935
AT1G04580	4104
AT1G04590	1353
AT1G04600	5193
AT1G04610	1737
AT1G04620	1609
AT1G04625	774
AT1G04630	745
AT1G04635	682
AT1G04640	1278
AT1G04645	494
AT1G04650	3093
AT1G04660	1288
AT1G04670	697
AT1G04680	1923
AT1G04684	150
AT1G04690	1415
AT1G04700	3886
AT1G04710	1595
AT1G04720	38
AT1G04730	2921
AT1G04750	1192
AT1G04760	663
AT1G04770	1187
AT1G04778	306
AT1G04780	2836
AT1G04790	2287
AT1G04800	835
AT1G04810	3311
AT1G04820	1703
AT1G04830	1973
AT1G04840	1998
AT1G04850	1573
AT1G04860	3418
AT1G04870	1567
AT1G04880	1587
AT1G04890	2023
AT1G04900	1734
AT1G04910	1903
AT1G04920	3469
AT1G04930	1409
AT1G04940	1138
AT1G04945	2674
AT1G04950	2333
AT1G04960	1669
AT1G04970	1734
AT1G04980	1593
AT1G04985	993
AT1G04990	1838
AT1G05000	1200
AT1G05010	1364
AT1G05020	2414
AT1G05030	1779
AT1G05040	996
AT1G05055	1496
AT1G05060	1001
AT1G05061	1045
AT1G05065	252
AT1G05070	877
AT1G05080	1320
AT1G05085	375
AT1G05090	2121
AT1G05100	1272
AT1G05120	2731
AT1G05135	1322
AT1G05136	141
AT1G05140	1509
AT1G05150	2894
AT1G05160	2078
AT1G05170	1890
AT1G05180	2040
AT1G05190	935
AT1G05200	3451
AT1G05205	557
AT1G05210	770
AT1G05220	979
AT1G05230	2993
AT1G05240	1277
AT1G05250	1366
AT1G05260	1209
AT1G05270	1386
AT1G05280	1497
AT1G05290	1126
AT1G05291	724
AT1G05300	1999
AT1G05310	1337
AT1G05320	2704
AT1G05330	414
AT1G05340	711
AT1G05350	1627
AT1G05360	1656
AT1G05370	1480
AT1G05380	4136
AT1G05385	746
AT1G05390	74
AT1G05400	996
AT1G05410	1742
AT1G05420	681
AT1G05430	1067
AT1G05440	1527
AT1G05450	892
AT1G05460	3375
AT1G05470	2696
AT1G05490	4600
AT1G05500	2110
AT1G05510	980
AT1G05520	2586
AT1G05530	1368
AT1G05540	1270
AT1G05550	1761
AT1G05560	1650
AT1G05562	1288
AT1G05570	6231
AT1G05575	497
AT1G05577	1502
AT1G05580	2879
AT1G05590	2131
AT1G05600	1801
AT1G05610	1465
AT1G05615	519
AT1G05620	1301
AT1G05630	3888
AT1G05640	1884
AT1G05650	1185
AT1G05660	1185
AT1G05670	3333
AT1G05675	1493
AT1G05680	1518
AT1G05690	1660
AT1G05700	2559
AT1G05710	1443
AT1G05720	782
AT1G05730	1146
AT1G05740	438
AT1G05750	3226
AT1G05760	634
AT1G05770	747
AT1G05780	698
AT1G05785	771
AT1G05790	2477
AT1G05800	1416
AT1G05805	1425
AT1G05810	896
AT1G05820	2041
AT1G05830	3807
AT1G05835	520
AT1G05840	1698
AT1G05850	1478
AT1G05860	1176
AT1G05870	1490
AT1G05880	1726
AT1G05890	2523
AT1G05894	1490
AT1G05900	1511
AT1G05910	3942
AT1G05920	1477
AT1G05925	162
AT1G05930	957
AT1G05940	1955
AT1G05950	2056
AT1G05960	3694
AT1G05970	857
AT1G05980	72
AT1G05990	594
AT1G06000	1587
AT1G06002	942
AT1G06010	633
AT1G06020	1038
AT1G06030	1021
AT1G06040	1309
AT1G06050	1294
AT1G06060	1115
AT1G06070	1893
AT1G06080	1220
AT1G06090	1131
AT1G06100	900
AT1G06110	1564
AT1G06120	1122
AT1G06130	1353
AT1G06135	546
AT1G06137	207
AT1G06140	1677
AT1G06148	2046
AT1G06149	2968
AT1G06150	4850
AT1G06160	931
AT1G06170	1699
AT1G06180	912
AT1G06190	1470
AT1G06200	972
AT1G06210	1661
AT1G06220	3543
AT1G06225	252
AT1G06230	3348
AT1G06240	1526
AT1G06250	1400
AT1G06260	1051
AT1G06265	2334
AT1G06270	1520
AT1G06280	643
AT1G06290	2375
AT1G06310	2070
AT1G06320	667
AT1G06330	480
AT1G06340	731
AT1G06350	1150
AT1G06360	1152
AT1G06370	1401
AT1G06380	953
AT1G06390	1739
AT1G06400	995
AT1G06410	3158
AT1G06420	1025
AT1G06430	2255
AT1G06440	1672
AT1G06450	1380
AT1G06460	1226
AT1G06470	1929
AT1G06475	553
AT1G06480	74
AT1G06490	5991
AT1G06500	889
AT1G06510	1147
AT1G06515	680
AT1G06520	1995
AT1G06530	1003
AT1G06540	409
AT1G06550	1562
AT1G06560	2027
AT1G06570	1554
AT1G06580	2052
AT1G06590	3104
AT1G06610	73
AT1G06620	1292
AT1G06630	1997
AT1G06640	1510
AT1G06645	1301
AT1G06650	1360
AT1G06660	1694
AT1G06670	5144
AT1G06680	1143
AT1G06690	1389
AT1G06700	1822
AT1G06710	3418
AT1G06720	3657
AT1G06730	1968
AT1G06740.1	2591
AT1G06750	2309
AT1G06760	1090
AT1G06770	2204
AT1G06780	2465
AT1G06790	1452
AT1G06800	2017
AT1G06810	609
AT1G06820	1999
AT1G06830	505
AT1G06840	3240
AT1G06850	1430
AT1G06860	71
AT1G06870	1687
AT1G06880	71
AT1G06890	1738
AT1G06900	3413
AT1G06910	1528
AT1G06920	948
AT1G06923	1228
AT1G06925	432
AT1G06930	1041
AT1G06950	3314
AT1G06960	968
AT1G06970	2490
AT1G06980	791
AT1G06990	1232
AT1G07000	2024
AT1G07010	1628
AT1G07020	674
AT1G07025	501
AT1G07030	1477
AT1G07040	1676
AT1G07050	833
AT1G07051	230
AT1G07060	733
AT1G07070	575
AT1G07080	1218
AT1G07090	943
AT1G07100	74
AT1G07110	2662
AT1G07119	656
AT1G07120	1294
AT1G07128	797
AT1G07130	958
AT1G07135	732
AT1G07140	1429
AT1G07150	1669
AT1G07160	1460
AT1G07170	935
AT1G07175	268
AT1G07180	1788
AT1G07190	165
AT1G07200	3489
AT1G07210	1197
AT1G07220	1767
AT1G07230	2062
AT1G07240	1762
AT1G07250	1667
AT1G07260	1726
AT1G07270	1518
AT1G07280	2172
AT1G07290	1155
AT1G07300	735
AT1G07310	1453
AT1G07320	1389
AT1G07330	2058
AT1G07340	1686
AT1G07350	1552
AT1G07360	1689
AT1G07370	1025
AT1G07380	2340
AT1G07390	3540
AT1G07400	816
AT1G07410	755
AT1G07420	1415
AT1G07430	1817
AT1G07440	1240
AT1G07450	975
AT1G07460	777
AT1G07470	1538
AT1G07473	924
AT1G07476	747
AT1G07480	2066
AT1G07485	662
AT1G07490	642
AT1G07500	225
AT1G07510	2917
AT1G07520	2242
AT1G07530	2787
AT1G07540	1893
AT1G07550	2700
AT1G07560	2616
AT1G07570	1851
AT1G07580	73
AT1G07590	2361
AT1G07600	138
AT1G07610	457
AT1G07615	1632
AT1G07620	2053
AT1G07630	2336
AT1G07640	1850
AT1G07645	625
AT1G07650	3469
AT1G07660	717
AT1G07670	3538
AT1G07680	702
AT1G07690	540
AT1G07700	1628
AT1G07702	81
AT1G07705	2607
AT1G07710	1632
AT1G07720	1799
AT1G07725	2472
AT1G07728	1895
AT1G07730	1170
AT1G07740	2658
AT1G07745	1504
AT1G07747	288
AT1G07750	1414
AT1G07760	72
AT1G07770	728
AT1G07780	1665
AT1G07790	729
AT1G07795	682
AT1G07800.1	930
AT1G07810	3499
AT1G07820	732
AT1G07830	850
AT1G07840	1531
AT1G07850	1626
AT1G07860	439
AT1G07870	2244
AT1G07880	1411
AT1G07885	123
AT1G07890	1578
AT1G07900	576
AT1G07901	153
AT1G07910	4060
AT1G07920	1783
AT1G07930	1807
AT1G07940	2028
AT1G07950	796
AT1G07960	1284
AT1G07970	2434
AT1G07980	996
AT1G07985	751
AT1G07990	2905
AT1G08000	1607
AT1G08005	168
AT1G08010	1410
AT1G08030	1844
AT1G08032	111
AT1G08035	578
AT1G08040	1624
AT1G08050	2294
AT1G08060	6590
AT1G08065	1088
AT1G08070	2414
AT1G08080	859
AT1G08090	1900
AT1G08100	1709
AT1G08105.1	3092
AT1G08110	1233
AT1G08115	162
AT1G08120	1047
AT1G08125	1305
AT1G08130	2715
AT1G08135	2391
AT1G08140	2714
AT1G08150	2448
AT1G08160	917
AT1G08165	430
AT1G08170	732
AT1G08180	550
AT1G08190	3371
AT1G08200	1686
AT1G08210	1666
AT1G08220	1231
AT1G08230	1461
AT1G08240	72
AT1G08250	1445
AT1G08260	6486
AT1G08270	1085
AT1G08280	1446
AT1G08290	1760
AT1G08300	2241
AT1G08310	1483
AT1G08315	1211
AT1G08320	2094
AT1G08340	1438
AT1G08350	2223
AT1G08360	949
AT1G08370	1465
AT1G08380	703
AT1G08390	602
AT1G08400	2463
AT1G08410	2161
AT1G08420	4035
AT1G08430	1566
AT1G08440	1506
AT1G08450	1577
AT1G08460	1369
AT1G08465	1174
AT1G08470	1431
AT1G08480	761
AT1G08490	1761
AT1G08500	945
AT1G08510	2053
AT1G08520	2549
AT1G08530	939
AT1G08540	1993
AT1G08550	1893
AT1G08560	1191
AT1G08570	1426
AT1G08580	642
AT1G08590	3444
AT1G08592	1614
AT1G08600	4902
AT1G08610	2082
AT1G08620	4395
AT1G08630	1710
AT1G08640	1270
AT1G08650	1429
AT1G08660	1704
AT1G08670	791
AT1G08680	2772
AT1G08695	267
AT1G08700	1561
AT1G08710	1274
AT1G08720	3081
AT1G08730	4739
AT1G08735.1	3352
AT1G08740.1	3045
AT1G08750	1528
AT1G08760	2566
AT1G08770	865
AT1G08780	602
AT1G08790	573
AT1G08800	4317
AT1G08810	1234
AT1G08820	1716
AT1G08830	872
AT1G08840	4340
AT1G08845	812
AT1G08860	1755
AT1G08870	73
AT1G08880	748
AT1G08890	1675
AT1G08900	1582
AT1G08910	2844
AT1G08920	2019
AT1G08930	1881
AT1G08940	913
AT1G08950	72
AT1G08960	2051
AT1G08970	1795
AT1G08980	1512
AT1G08985	422
AT1G08990	1907
AT1G09000	2270
AT1G09010	3025
AT1G09020	2302
AT1G09026	156
AT1G09030	420
AT1G09040	3095
AT1G09050	2782
AT1G09060	3091
AT1G09070	1266
AT1G09080	2116
AT1G09090	2701
AT1G09100	1487
AT1G09110	72
AT1G09130	1491
AT1G09140	1611
AT1G09150	1014
AT1G09155	1172
AT1G09157	732
AT1G09160	1956
AT1G09170	3033
AT1G09176	453
AT1G09180	737
AT1G09190	1599
AT1G09195	2147
AT1G09200	607
AT1G09210	1745
AT1G09220	1675
AT1G09230	1507
AT1G09240	1250
AT1G09245	455
AT1G09250	980
AT1G09260	417
AT1G09270	2143
AT1G09280	1917
AT1G09290	1259
AT1G09300	2129
AT1G09310	826
AT1G09320	2018
AT1G09330	990
AT1G09340	1481
AT1G09350	1301
AT1G09360	567
AT1G09370	540
AT1G09380	1568
AT1G09390	1341
AT1G09400	1182
AT1G09410	2118
AT1G09415	655
AT1G09420	2250
AT1G09421	546
AT1G09430	1838
AT1G09440	1593
AT1G09450	2096
AT1G09460	1263
AT1G09470	1427
AT1G09480	1110
AT1G09483	339
AT1G09486	1302
AT1G09490	1366
AT1G09500	1708
AT1G09510	1078
AT1G09520	1105
AT1G09530	2017
AT1G09540	1498
AT1G09550	1240
AT1G09560	942
AT1G09570	3829
AT1G09575	1152
AT1G09580	921
AT1G09590	708
AT1G09600	2145
AT1G09610	1180
AT1G09620	3720
AT1G09625	431
AT1G09630	938
AT1G09640	1795
AT1G09645	751
AT1G09650	1478
AT1G09660	1458
AT1G09665	498
AT1G09680	1824
AT1G09690	759
AT1G09700	1688
AT1G09710	2262
AT1G09720	2787
AT1G09730	3386
AT1G09740	843
AT1G09750	1578
AT1G09760	1190
AT1G09770	2934
AT1G09780	1911
AT1G09790	1451
AT1G09794	422
AT1G09795	1516
AT1G09800	1442
AT1G09810	1775
AT1G09812	387
AT1G09815	658
AT1G09820	2127
AT1G09830	1790
AT1G09840	2266
AT1G09850	1638
AT1G09860	1294
AT1G09870	1694
AT1G09880	1896
AT1G09890	1899
AT1G09900	1797
AT1G09910	2234
AT1G09920	968
AT1G09930	2205
AT1G09932	1213
AT1G09935	696
AT1G09940	2114
AT1G09950	1027
AT1G09960	1974
AT1G09970	3367
AT1G09980	3159
AT1G09995	724
AT1G10000	912
AT1G10010	1428
AT1G10020	1976
AT1G10030	743
AT1G10040	1693
AT1G10050	3230
AT1G10060	2186
AT1G10070	1752
AT1G10090	2910
AT1G10095	1507
AT1G10100	489
AT1G10110	1351
AT1G10120	2130
AT1G10130	3478
AT1G10140	747
AT1G10150	1791
AT1G10155	555
AT1G10160.1	4500
AT1G10170	3897
AT1G10180	2502
AT1G10190	1311
AT1G10200	982
AT1G10210	1877
AT1G10220	1009
AT1G10230	789
AT1G10240	2295
AT1G10250	330
AT1G10260.1	722
AT1G10270	2985
AT1G10280	1897
AT1G10290	3304
AT1G10300	2064
AT1G10310	901
AT1G10320	2274
AT1G10330	1404
AT1G10340	1980
AT1G10350	1433
AT1G10360	907
AT1G10370	962
AT1G10380	1232
AT1G10385	2265
AT1G10390	3776
AT1G10400	1421
AT1G10410	1995
AT1G10417	1641
AT1G10419	395
AT1G10430	1344
AT1G10440	72
AT1G10450	4024
AT1G10455	459
AT1G10460	999
AT1G10470	1275
AT1G10480	1536
AT1G10490	3843
AT1G10500	848
AT1G10510	2150
AT1G10520	1590
AT1G10522	1166
AT1G10530	996
AT1G10538	251
AT1G10540	1951
AT1G10550	1068
AT1G10560	2386
AT1G10570	1946
AT1G10580	2073
AT1G10585	761
AT1G10586	771
AT1G10588	653
AT1G10590	886
AT1G10600	1079
AT1G10610	1857
AT1G10620	2157
AT1G10630	1043
AT1G10640	1793
AT1G10650	1609
AT1G10652	123
AT1G10657	1019
AT1G10660	1674
AT1G10670	1959
AT1G10680	3684
AT1G10682	481
AT1G10690	641
AT1G10700	1518
AT1G10705	242
AT1G10710	1752
AT1G10717	273
AT1G10720	1615
AT1G10730	1287
AT1G10740	2097
AT1G10745	249
AT1G10747	446
AT1G10750	1747
AT1G10760	4670
AT1G10770	779
AT1G10780	1470
AT1G10790	1011
AT1G10800	434
AT1G10810	1253
AT1G10820	1625
AT1G10830	1737
AT1G10840	1605
AT1G10850	2743
AT1G10865	568
AT1G10870	2769
AT1G10880	2017
AT1G10890	1254
AT1G10900	2644
AT1G10910	2213
AT1G10920	2912
AT1G10930	3916
AT1G10940	1827
AT1G10950	2245
AT1G10960	654
AT1G10970	1547
AT1G10980	1915
AT1G10990	910
AT1G11000	1971
AT1G11010	38
AT1G11020	1417
AT1G11030	74
AT1G11040	1317
AT1G11050	2282
AT1G11055	177
AT1G11060	3103
AT1G11070	2486
AT1G11080	1978
AT1G11090	1172
AT1G11100	4075
AT1G11110	1297
AT1G11112	737
AT1G11120	609
AT1G11125	929
AT1G11130	2857
AT1G11145	489
AT1G11150.1	2654
AT1G11160	3812
AT1G11170	2295
AT1G11175	798
AT1G11180	1184
AT1G11185	526
AT1G11190	1274
AT1G11200	1153
AT1G11210	1213
AT1G11220	1093
AT1G11230	1216
AT1G11240	867
AT1G11250	897
AT1G11260	1905
AT1G11265.1	4059
AT1G11270	1630
AT1G11280	2840
AT1G11290	2430
AT1G11300	5104
AT1G11310	2287
AT1G11320	1535
AT1G11330	2999
AT1G11340	2706
AT1G11350	2680
AT1G11360	1424
AT1G11362	687
AT1G11370	867
AT1G11380	1107
AT1G11390	2502
AT1G11400	1148
AT1G11410	2686
AT1G11420	1815
AT1G11430	953
AT1G11440	1303
AT1G11450	1433
AT1G11460	1014
AT1G11470	747
AT1G11475	562
AT1G11480	2175
AT1G11482	1123
AT1G11490	1098
AT1G11500	555
AT1G11510	1059
AT1G11520	591
AT1G11530	611
AT1G11540	1320
AT1G11545	1132
AT1G11550	80
AT1G11560	1032
AT1G11570	605
AT1G11572	597
AT1G11580	1876
AT1G11590	1686
AT1G11592	1376
AT1G11593	608
AT1G11595	1069
AT1G11600	1771
AT1G11608	1240
AT1G11610	1731
AT1G11620	1092
AT1G11630	1506
AT1G11640	72
AT1G11650	1578
AT1G11655	503
AT1G11660	2617
AT1G11670	1964
AT1G11680	1832
AT1G11684	198
AT1G11690	744
AT1G11700	877
AT1G11710	2646
AT1G11720	3609
AT1G11730	1155
AT1G11735	117
AT1G11740	2198
AT1G11750	1345
AT1G11755	1331
AT1G11760	847
AT1G11765	635
AT1G11770	1701
AT1G11780	1831
AT1G11785	481
AT1G11790	1746
AT1G11800	1648
AT1G11803	276
AT1G11806	1053
AT1G11810	1304
AT1G11820	1924
AT1G11840	1685
AT1G11850	678
AT1G11860	1841
AT1G11870	1777
AT1G11880	1780
AT1G11890	1094
AT1G11900	1200
AT1G11905	1126
AT1G11910	1970
AT1G11915	1203
AT1G11920	1155
AT1G11925	803
AT1G11930	1151
AT1G11940	1478
AT1G11950	2955
AT1G11960	2660
AT1G11970	300
AT1G11980	237
AT1G11990	1773
AT1G12000	2072
AT1G12010	1293
AT1G12013	130
AT1G12015	90
AT1G12020	876
AT1G12030	994
AT1G12040	2444
AT1G12050	1675
AT1G12060	648
AT1G12064	598
AT1G12070	672
AT1G12080	701
AT1G12090	879
AT1G12100	399
AT1G12110	2136
AT1G12120	1955
AT1G12130	1413
AT1G12140	2146
AT1G12150	1759
AT1G12160	1629
AT1G12170	1095
AT1G12180	613
AT1G12190	1128
AT1G12200	1685
AT1G12210	2658
AT1G12211	249
AT1G12220	3039
AT1G12230	1720
AT1G12240	2229
AT1G12244	983
AT1G12250	1051
AT1G12260	1871
AT1G12270	1949
AT1G12280	2685
AT1G12290	3520
AT1G12294	168
AT1G12300	3059
AT1G12310	892
AT1G12320	841
AT1G12330	1655
AT1G12340	668
AT1G12350	1279
AT1G12360	2557
AT1G12370	1726
AT1G12380	2871
AT1G12390	954
AT1G12400	607
AT1G12410	1079
AT1G12411	162
AT1G12420	1858
AT1G12423	120
AT1G12430	3224
AT1G12440	1417
AT1G12450	1285
AT1G12451	183
AT1G12460	3289
AT1G12470	3236
AT1G12480	1881
AT1G12490	1059
AT1G12500	1565
AT1G12510	74
AT1G12520	1338
AT1G12530	734
AT1G12540	1000
AT1G12550	1177
AT1G12560	1033
AT1G12570	2027
AT1G12580	1972
AT1G12590	72
AT1G12600	1279
AT1G12610	1074
AT1G12620	2407
AT1G12630	587
AT1G12640	1795
AT1G12650	1299
AT1G12660	414
AT1G12663	348
AT1G12665	519
AT1G12667	347
AT1G12669	391
AT1G12670	305
AT1G12672	609
AT1G12680	1933
AT1G12700	2480
AT1G12710	1274
AT1G12720.1	2159
AT1G12725.1	507
AT1G12730	1720
AT1G12740	1905
AT1G12750	1608
AT1G12760	1812
AT1G12770	2069
AT1G12775	2024
AT1G12780	1462
AT1G12790	1172
AT1G12800	2673
AT1G12805	523
AT1G12810	867
AT1G12820	2229
AT1G12830	921
AT1G12840	1491
AT1G12845	578
AT1G12850	1568
AT1G12855	1452
AT1G12860	1976
AT1G12870	1251
AT1G12880	1002
AT1G12890	660
AT1G12900	1551
AT1G12910	1395
AT1G12920	1656
AT1G12930	3341
AT1G12935.1	429
AT1G12938	171
AT1G12940	1762
AT1G12950	1824
AT1G12960	315
AT1G12970	1639
AT1G12980	1248
AT1G12990	2035
AT1G13000	1913
AT1G13010	73
AT1G13020	2197
AT1G13030	2196
AT1G13040	1554
AT1G13050	1389
AT1G13060	1280
AT1G13070	1623
AT1G13080	1688
AT1G13090	1656
AT1G13100	1532
AT1G13110	1743
AT1G13120	2427
AT1G13130	1786
AT1G13140	1837
AT1G13145	475
AT1G13150	1822
AT1G13160	2654
AT1G13170	3116
AT1G13180	1915
AT1G13190	2179
AT1G13195	1602
AT1G13200	1308
AT1G13210	4065
AT1G13220	3845
AT1G13230	1428
AT1G13240	74
AT1G13245	579
AT1G13250	1441
AT1G13260	1575
AT1G13270	1416
AT1G13280	1258
AT1G13290	1215
AT1G13300	1237
AT1G13310	1406
AT1G13320	2136
AT1G13330	1020
AT1G13340	1479
AT1G13350	2535
AT1G13360	1095
AT1G13370	648
AT1G13380	775
AT1G13390	1294
AT1G13400	781
AT1G13410	1814
AT1G13420	1213
AT1G13430	1248
AT1G13440	1439
AT1G13448	592
AT1G13450	1965
AT1G13460	1951
AT1G13470	1272
AT1G13480	1340
AT1G13485	174
